IRSZ;nev;utotag;ker
1162;Béla;utca;XVI
1184;Béla;utca;XVIII
1214;Béla;utca;XXI
1221;Béla;utca;XXII
1121;Béla király;út;XII
1125;Béla király;út;XII
1174;Bélatelepi;út;XVII
1173;Bélavár;utca;XVII
1112;Beléndek;utca;XI
1107;Belényes;utca;X
1056;Belgrád;rakpart;V
1152;Beller Imre;utca;XV
1153;Beller Imre;utca;XV
1151;Belső;köz;XV
1011;Bem;rakpart;I
1027;Bem;rakpart;II
1039;Bem;utca;III
1047;Bem;utca;IV
1151;Bem;utca;XV
1174;Bem;utca;XVII
1184;Bem;utca;XVIII
1193;Bem;utca;XIX
1202;Bem;utca;XX
1163;Bem apó;utca;XVI
1027;Bem József;tér;II
1027;Bem József;utca;II
1222;Bem József;utca;XXII
1224;Bem tábornok;utca;XXII
1138;Bence;utca;XIII
1221;Bencés;utca;XXII
1046;Benczúr;utca;IV
1068;Benczúr;utca;VI
1185;Benczúr;utca;XVIII
1194;Benczúr;utca;XIX
1068;Benczúr;köz;VI
1119;Bendegúz;utca;XI
1033;Benedek Elek;utca;III
1181;Benedek Elek;utca;XVIII
1184;Benedek Elek;utca;XVIII
1186;Benedekfalva;utca;XVIII
1115;Benedikt Ottó;utca;XI
1164;Beniczky Tamás;utca;XVI
1188;Benjámin;utca;XVIII
1147;Benkő;utca;XIV
1151;Benkő István;utca;XV
1165;Benő;utca;XVI
1225;Bentonit;utca;XXII
1164;Bény;utca;XVI
1089;Benyovszky Móric;utca;VIII
1095;Beöthy;utca;IX
1016;Bérc;utca;I
1121;Bérclejtő;utca;XII
1038;Bérctető;utca;III
1028;Bercsényi;utca;II
1039;Bercsényi;utca;III
1042;Bercsényi;utca;IV
1111;Bercsényi;utca;XI
1117;Bercsényi;utca;XI
1161;Bercsényi;utca;XVI
1192;Bercsényi;utca;XIX
1239;Bercsényi;utca;XXIII
1154;Bercsényi Miklós;utca;XV
1188;Bercsényi Miklós;utca;XVIII
1043;Berda József;utca;IV
1118;Bereck;utca;XI
1112;Beregszász;út;XI
1118;Beregszász;tér;XI
1118;Beregszász;út;XI
1185;Beregszász;utca;XVIII
1222;Beregszászi;utca;XXII
1118;Beregszász;köz;XI
1213;Berek;utca;XXI
1182;Beremend;utca;XVIII
1035;Berend;utca;III
